Site,Month,Day,Hour,Value,Duration
GZ,1,13,12,16,Valid
GZ,1,13,13,17,Valid
GZ,1,13,14,17,Valid
GZ,1,13,15,17,Valid
GZ,1,13,16,20,Valid
GZ,1,13,17,21,Valid
GZ,1,13,18,22,Valid
GZ,1,13,19,22,Valid
GZ,1,13,20,20,Valid
GZ,1,13,21,22,Valid
GZ,1,13,22,20,Valid
GZ,1,13,23,19,Valid
GZ,1,14,0,21,Valid
GZ,1,14,1,19,Valid
GZ,1,14,2,24,Valid
GZ,1,14,3,25,Valid
GZ,1,14,4,19,Valid
GZ,1,14,5,21,Valid
GZ,1,14,6,24,Valid
GZ,1,14,7,22,Valid
GZ,1,14,8,24,Valid
GZ,1,14,9,23,Valid
GZ,1,14,10,23,Valid
GZ,1,14,11,17,Valid
GZ,1,14,12,20,Valid
GZ,1,14,13,21,Valid
GZ,1,14,14,17,Valid
GZ,1,14,15,22,Valid
GZ,1,14,16,25,Valid
GZ,1,14,17,27,Valid
GZ,1,14,18,31,Valid
GZ,1,14,19,38,Valid
GZ,1,14,20,31,Valid
GZ,1,14,21,27,Valid
GZ,1,14,22,26,Valid
GZ,1,14,23,29,Valid
GZ,1,15,0,34,Valid
GZ,1,15,1,36,Valid
GZ,1,15,2,32,Valid
GZ,1,15,3,30,Valid
GZ,1,15,4,34,Valid
GZ,1,15,5,35,Valid
GZ,1,15,6,34,Valid
GZ,1,15,7,35,Valid
GZ,1,15,8,37,Valid
GZ,1,15,9,38,Valid
GZ,1,15,10,38,Valid
GZ,1,15,11,33,Valid
GZ,1,15,12,35,Valid
GZ,1,15,13,38,Valid
GZ,1,15,14,47,Valid
GZ,1,15,15,62,Valid
GZ,1,15,16,48,Valid
GZ,1,15,17,48,Valid
GZ,1,15,18,59,Valid
GZ,1,15,19,88,Valid
GZ,1,15,20,101,Valid
GZ,1,15,21,92,Valid
GZ,1,15,22,92,Valid
GZ,1,15,23,100,Valid
GZ,1,16,0,98,Valid
GZ,1,16,1,133,Valid
GZ,1,16,2,126,Valid
